id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
12-CAAL-old-growth-SD,Size_DblN_end_logit_F01_LL.JP.1(1),0.345301,0.82179,3,-999,9,-0.328875,HI,OK
12-CAAL-old-growth-SD,Size_DblN_peak_F02_LL.JP.2(2),199.143,2.59095,2,45,325,196.14,OK,OK
12-CAAL-old-growth-SD,Size_DblN_top_logit_F02_LL.JP.2(2),-0.878041,0.709064,3,-10,10,0.050617,OK,OK
12-CAAL-old-growth-SD,Size_DblN_ascend_se_F02_LL.JP.2(2),5.74119,0.183661,4,-10,10,5.67075,OK,OK
12-CAAL-old-growth-SD,Size_DblN_descend_se_F02_LL.JP.2(2),-2.89198,82.9724,5,-10,10,0.000402884,OK,OK
12-CAAL-old-growth-SD,Size_DblN_peak_F03_LL.JP.3(3),208.812,9.79525,2,45,325,199.363,OK,OK
12-CAAL-old-growth-SD,Size_DblN_ascend_se_F03_LL.JP.3(3),6.53484,0.435831,4,-10,10,6.23952,OK,OK
12-CAAL-old-growth-SD,Size_DblN_descend_se_F03_LL.JP.3(3),9.95746,1.31633,5,-10,10,-5.8377,HI,OK
12-CAAL-old-growth-SD,Size_DblN_end_logit_F03_LL.JP.3(3),-495.001,11269.8,3,-999,9,2.22369,OK,OK
12-CAAL-old-growth-SD,Size_DblN_peak_F04_LL.JP.4(4),191.426,0.924503,2,45,325,182.187,OK,OK
12-CAAL-old-growth-SD,Size_DblN_ascend_se_F04_LL.JP.4(4),7.09948,0.180676,4,-10,10,7.00869,OK,OK
12-CAAL-old-growth-SD,Size_DblN_descend_se_F04_LL.JP.4(4),-7.16936,35.4336,5,-10,10,4.38058,OK,OK
12-CAAL-old-growth-SD,Size_DblN_end_logit_F04_LL.JP.4(4),1.1575,1.51643,3,-999,9,0.177857,HI,OK
12-CAAL-old-growth-SD,Size_DblN_peak_F06_LL.AU.2(6),188.639,1.11727,2,45,325,185.961,OK,OK
12-CAAL-old-growth-SD,Size_DblN_ascend_se_F06_LL.AU.2(6),5.61286,0.0863242,4,-10,10,5.74895,OK,OK
12-CAAL-old-growth-SD,Size_DblN_descend_se_F06_LL.AU.2(6),5.152,0.496818,5,-10,10,5.25914,OK,OK
12-CAAL-old-growth-SD,Size_DblN_end_logit_F06_LL.AU.2(6),0.108972,0.46338,3,-999,9,-0.819877,HI,OK
12-CAAL-old-growth-SD,Size_DblN_peak_F07_LL.AU.3(7),196.582,2.27516,2,45,325,190.994,OK,OK
12-CAAL-old-growth-SD,Size_DblN_ascend_se_F07_LL.AU.3(7),6.14519,0.130714,4,-10,10,5.99271,OK,OK
12-CAAL-old-growth-SD,Size_DblN_descend_se_F07_LL.AU.3(7),4.07982,1.56804,5,-10,10,4.78328,OK,OK
12-CAAL-old-growth-SD,Size_DblN_end_logit_F07_LL.AU.3(7),0.545324,0.730725,3,-999,9,-0.427338,HI,OK
12-CAAL-old-growth-SD,Size_DblN_peak_F09.REC.AU.3(9),200.6,3.93185,2,45,325,196.518,OK,OK
12-CAAL-old-growth-SD,Size_DblN_top_logit_F09.REC.AU.3(9),-0.89405,0.466798,3,-10,10,-0.970036,OK,OK
12-CAAL-old-growth-SD,Size_DblN_ascend_se_F09.REC.AU.3(9),5.50076,0.333797,4,-10,10,5.57891,OK,OK
12-CAAL-old-growth-SD,Size_DblN_descend_se_F09.REC.AU.3(9),-0.97153,94.656,5,-10,10,-8.65494,OK,OK
12-CAAL-old-growth-SD,Size_inflection_F10_REC.NZ.3(10),204.976,2.39096,2,45,325,208.008,OK,OK
12-CAAL-old-growth-SD,Size_95%width_F10_REC.NZ.3(10),19.6558,1.51724,3,0,500,24.669,OK,OK
12-CAAL-old-growth-SD,Size_DblN_peak_S01_INDEX.1-4(16),214.999,27.2483,2,45,325,228.188,OK,OK
12-CAAL-old-growth-SD,Size_DblN_top_logit_S01_INDEX.1-4(16),0.000874578,221.85,3,-10,10,-7.30611e-07,OK,OK
12-CAAL-old-growth-SD,Size_DblN_ascend_se_S01_INDEX.1-4(16),6.73173,1.2309,4,-10,10,7.64348,OK,OK
12-CAAL-old-growth-SD,Size_DblN_descend_se_S01_INDEX.1-4(16),1.42102e-05,223.604,5,-10,10,-1.01421e-07,OK,OK
