id,Fleet,Fleet_name,Yr,Sex,variable,value
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,14.5,1.17518e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,14.5,1.15263e-09
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,14.5,1.14227e-09
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,15.5,3.32292e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,15.5,1.31709e-09
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,15.5,1.30963e-09
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,15.5,1.34286e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,15.5,1.34286e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,15.5,1.32623e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,15.5,1.31922e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,15.5,1.31922e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,15.5,1.31592e-09
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,15.5,4.71154e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,15.5,3.32292e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,15.5,1.31709e-09
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,15.5,1.30963e-09
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,15.5,1.34286e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,15.5,1.31709e-09
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,15.5,1.30526e-09
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,16.5,3.76552e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,16.5,1.49252e-09
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,16.5,1.48406e-09
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,16.5,1.52172e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,16.5,1.52172e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,16.5,1.50288e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,16.5,1.49493e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,16.5,1.49493e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,16.5,1.49119e-09
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,16.5,5.47294e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,16.5,3.76552e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,16.5,1.49252e-09
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,16.5,1.48406e-09
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,16.5,1.52172e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,16.5,1.49252e-09
12-CAAL-old-growth-SD,16,S01_INDEX.1-4,2022,1,16.5,1.47911e-09
12-CAAL-old-growth-SD,1,F01_LL.JP.1,2022,1,17.5,4.23578e-07
12-CAAL-old-growth-SD,2,F02_LL.JP.2,2022,1,17.5,1.67892e-09
12-CAAL-old-growth-SD,3,F03_LL.JP.3,2022,1,17.5,1.6694e-09
12-CAAL-old-growth-SD,4,F04_LL.JP.4,2022,1,17.5,1.71176e-09
12-CAAL-old-growth-SD,5,F05_LL.TW.4,2022,1,17.5,1.71176e-09
12-CAAL-old-growth-SD,6,F06_LL.AU.2,2022,1,17.5,1.69057e-09
12-CAAL-old-growth-SD,7,F07_LL.AU.3,2022,1,17.5,1.68162e-09
12-CAAL-old-growth-SD,8,F08_LL.NZ.3,2022,1,17.5,1.68162e-09
12-CAAL-old-growth-SD,9,F09.REC.AU.3,2022,1,17.5,1.67742e-09
12-CAAL-old-growth-SD,10,F10_REC.NZ.3,2022,1,17.5,6.35738e-13
12-CAAL-old-growth-SD,11,F11_LL.ALL.1,2022,1,17.5,4.23578e-07
12-CAAL-old-growth-SD,12,F12_LL.ALL.2,2022,1,17.5,1.67892e-09
12-CAAL-old-growth-SD,13,F13_LL.ALL.3,2022,1,17.5,1.6694e-09
12-CAAL-old-growth-SD,14,F14_LL.ALL.4,2022,1,17.5,1.71176e-09
12-CAAL-old-growth-SD,15,F16_LL.JP.2_early,2022,1,17.5,1.67892e-09
