"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Bratio_2017" "Bratio_2017" 0.362569 0.0787526 -8.09409 2.91536e-16
"Bratio_2018" "Bratio_2018" 0.407831 0.086783 -6.82356 4.46698e-12
"Bratio_2019" "Bratio_2019" 0.402026 0.0880065 -6.79465 5.46024e-12
"Bratio_2020" "Bratio_2020" 0.370385 0.0888444 -7.08671 6.91337e-13
"Bratio_2021" "Bratio_2021" 0.353067 0.0993468 -6.51187 3.72952e-11
"Bratio_2022" "Bratio_2022" 0.432475 0.138331 -4.10267 2.04319e-05
"Bratio_2023" "Bratio_2023" 0.630851 0.214719 -1.71922 0.0427875
"SSB_unfished" "SSB_unfished" 11373 301.793 NA NA
"Totbio_unfished" "Totbio_unfished" 17230.4 583.152 NA NA
"SmryBio_unfished" "SmryBio_unfished" 17230.4 583.152 NA NA
"Recr_unfished" "Recr_unfished" 160.457 4.25787 NA NA
"SSB_Btgt" "SSB_Btgt" 3411.9 90.538 NA NA
"SPR_Btgt" "SPR_Btgt" 0.34375 4.56224e-18 NA NA
"annF_Btgt" "annF_Btgt" 0.550692 0.032403 NA NA
"Dead_Catch_Btgt" "Dead_Catch_Btgt" 1854.87 62.5953 NA NA
"SSB_SPR" "SSB_SPR" 2881.16 76.4543 NA NA
"annF_SPR" "annF_SPR" 0.649326 0.0389558 NA NA
"Dead_Catch_SPR" "Dead_Catch_SPR" 1896.05 62.3727 NA NA
"SSB_MSY" "SSB_MSY" 2514.7 91.8367 NA NA
"SPR_MSY" "SPR_MSY" 0.269792 0.0026513 NA NA
"annF_MSY" "annF_MSY" 0.731568 0.0432952 NA NA
"Dead_Catch_MSY" "Dead_Catch_MSY" 1905.61 61.502 NA NA
"Ret_Catch_MSY" "Ret_Catch_MSY" 1905.61 61.502 NA NA
"B_MSY/SSB_unfished" "B_MSY/SSB_unfished" 0.221111 0.00282805 NA NA
"ForeCatch_2023" "ForeCatch_2023" 1391.99 77.7787 NA NA
"OFLCatch_2023" "OFLCatch_2023" 1391.99 77.7787 NA NA
"ln(SPB)_1952" "ln(SPB)_1952" 9.36821 0.0822607 NA NA
"ln(SPB)_1987" "ln(SPB)_1987" 7.35699 0.178585 NA NA
"ln(SPB)_2022" "ln(SPB)_2022" 6.99168 0.309895 NA NA
